confidence,context,coordinates,extraction_method,field_label,field_name,field_type,page_number,required,table_info,validation_rules,value
0.7,"Table 8, Row 8",,docx_table,(G) TOTALS: Value of Other Property (G) TOTALS: Value of Other Property (G) TOTALS: Value of Other P,g_totals_value_of_other_property_g_totals_value_of,currency,0,False,"{'table_index': 7, 'row_index': 7}",,
0.7,"Table 9, Row 1",,docx_table,"VALUE OF PROPERTY OWNED ON THE VALUATION DATE, (TOTAL 1)
(Add: item A to item G inclusive) $      $ ",value_of_property_owned_on_the_valuation_date_tota,date,0,False,"{'table_index': 8, 'row_index': 0}",,
0.7,"Table 10, Row 6",,docx_table,                        $      $      $      $     ,field,currency,0,False,"{'table_index': 9, 'row_index': 5}",,
0.7,"Table 10, Row 9",,docx_table,"TOTALS: Value of Debts and Other Liabilities, (TOTAL 2) TOTALS: Value of Debts and Other Liabilities",totals_value_of_debts_and_other_liabilities_total_,currency,0,False,"{'table_index': 9, 'row_index': 8}",,
0.7,"Table 11, Row 6",,docx_table,Assets             $      $      $      $     ,assets,currency,0,False,"{'table_index': 10, 'row_index': 5}",,
0.7,"Table 11, Row 7",,docx_table,                  $      $      $      $     ,field,currency,0,False,"{'table_index': 10, 'row_index': 6}",,
0.7,"Table 11, Row 8",,docx_table,TOTAL OF PROPERTY ITEMS TOTAL OF PROPERTY ITEMS TOTAL OF PROPERTY ITEMS $      $      $      $     ,total_of_property_items_total_of_property_items_to,currency,0,False,"{'table_index': 10, 'row_index': 7}",,
0.7,"Table 11, Row 10",,docx_table,Debts and other liabilities             $      $      $      $     ,debts_and_other_liabilities,currency,0,False,"{'table_index': 10, 'row_index': 9}",,
0.7,"Table 11, Row 12",,docx_table,TOTAL OF DEBTS ITEMS TOTAL OF DEBTS ITEMS TOTAL OF DEBTS ITEMS $      $      $      $     ,total_of_debts_items_total_of_debts_items_total_of,currency,0,False,"{'table_index': 10, 'row_index': 11}",,
0.7,"Table 11, Row 13",,docx_table,NET VALUE OF PROPERTY OWNED ON DATE OF MARRIAGE (NET TOTAL 3) NET VALUE OF PROPERTY OWNED ON DATE OF,net_value_of_property_owned_on_date_of_marriage_ne,date,0,False,"{'table_index': 10, 'row_index': 12}",,
0.7,"Table 12, Row 5",,docx_table,                  $      $      $      $     ,field,currency,0,False,"{'table_index': 11, 'row_index': 4}",,
0.7,"Table 12, Row 12",,docx_table,TOTALS: Value of Excluded Property (TOTAL 4) TOTALS: Value of Excluded Property (TOTAL 4) TOTALS: Va,totals_value_of_excluded_property_total_4_totals_v,currency,0,False,"{'table_index': 11, 'row_index': 11}",,
0.7,"Table 13, Row 1",,docx_table,TOTAL 2: Debts and Other Liabilities $      $      $      $     ,total_2_debts_and_other_liabilities,currency,0,False,"{'table_index': 12, 'row_index': 0}",,
0.7,"Table 13, Row 2",,docx_table,TOTAL 3: Value of Property Owned on the Date of Marriage $      $      $      $     ,total_3_value_of_property_owned_on_the_date_of_mar,date,0,False,"{'table_index': 12, 'row_index': 1}",,
0.7,"Table 13, Row 3",,docx_table,TOTAL 4: Value of Excluded Property $      $      $      $     ,total_4_value_of_excluded_property,currency,0,False,"{'table_index': 12, 'row_index': 2}",,
0.7,"Table 13, Row 4",,docx_table,TOTAL 5: (TOTAL 2 + TOTAL 3 + TOTAL 4) $      $      $      $     ,total_5_total_2_total_3_total_4,currency,0,False,"{'table_index': 12, 'row_index': 3}",,
0.7,"Table 14, Row 1",,docx_table,TOTAL 1: Value of Property Owned on Valuation Date $      $      $      $     ,total_1_value_of_property_owned_on_valuation_date,date,0,False,"{'table_index': 13, 'row_index': 0}",,
0.7,"Table 14, Row 2",,docx_table,TOTAL 5: (from above) $      $      $      $     ,total_5_from_above,currency,0,False,"{'table_index': 13, 'row_index': 1}",,
0.7,"Table 14, Row 3",,docx_table,TOTAL 6: NET FAMILY PROPERTY (Subtract: TOTAL 1 minus TOTAL 5) $      $      $      $     ,total_6_net_family_property_subtract_total_1_minus,currency,0,False,"{'table_index': 13, 'row_index': 2}",,
0.7,"Table 15, Row 3",,docx_table, $      $      $      $     ,field,currency,0,False,"{'table_index': 14, 'row_index': 2}",,
