field_id,field_name,field_type,field_label,required,field_context,page_number,table_name
widget_1_form1[0].page1[0].body[0].respondents[0].respondantLawyer[0].textfield[0],form1[0].page1[0].body[0].respondents[0].respondantLawyer[0].textfield[0],text,"Respondent. 1. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].respondents[0].respondantLawyer[0].textfield[1],form1[0].page1[0].body[0].respondents[0].respondantLawyer[0].textfield[1],text,"Respondent. 2. Lawyer’s name & address — street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any).",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].childrensLawyer[0].lawyer[0].textfield[0],form1[0].page1[0].body[0].childrensLawyer[0].lawyer[0].textfield[0],text,"Children’s Lawyer. Name & address of Children’s Lawyer’s agent for service (street & number, municipality, postal code, telephone & fax numbers and e-mail address (if any)) and name of person represented.",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q2[0].info[0],form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q2[0].info[0],text,1.  My name is (full legal name),False,Page 1,1,
widget_1_form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q2[1].sub[0].info[0],form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q2[1].sub[0].info[0],text,2.  I agree with the following claim(s) made by the respondent in his/her answer: (Refer to the numbers alongside the boxes on page 3 of the answer form.),False,Page 1,1,
widget_1_form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q3[0].sub[0].info[0],form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q3[0].sub[0].info[0],text,"3.  I do not agree with the following claim(s) made by the respondent: (Again, refer to the numbers alongside the boxes on page 3 of the answer form.)",False,Page 1,1,
widget_1_form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q4[0].claim[0],form1[0].page1[0].body[0].instrunctionFinancial[0].applicant[0].q4[0].claim[0],checkbox,4.  I am asking that the respondent's claim (except for the parts with which I agree) be dismissed with costs.,False,Page 1,1,
widget_2_form1[0].page1[0].body[0].#subform[5].courtFileNumber[0],form1[0].page1[0].body[0].#subform[5].courtFileNumber[0],text,Court File Number,False,Page 2,2,
widget_2_form1[0].page1[0].body[0].q5[0].sub[0].info[0],form1[0].page1[0].body[0].q5[0].sub[0].info[0],text,"5.  The important facts supporting my position in paragraph 3 are as follows: (In numbered paragraphs, set out the reasons for your position. Attach an additional sheet and number it if you need more space.)",False,Page 2,2,
widget_2_form1[0].page1[0].signature[0].signature[0].Date[0],form1[0].page1[0].signature[0].signature[0].Date[0],text,Date of Signature,False,Page 2,2,
widget_2_form1[0].page1[0].signature[0].signature[0].sig[0],form1[0].page1[0].signature[0].signature[0].sig[0],text,Signature,False,Page 2,2,
widget_2_form1[0].page1[0].navigationBtns[0].saveForm[0],form1[0].page1[0].navigationBtns[0].saveForm[0],text,Save Form,False,Page 2,2,
widget_2_form1[0].page1[0].navigationBtns[0].Print[0],form1[0].page1[0].navigationBtns[0].Print[0],text,Print Form,False,Page 2,2,
widget_2_form1[0].page1[0].navigationBtns[0].Reset[0],form1[0].page1[0].navigationBtns[0].Reset[0],text,Clear Form,False,Page 2,2,
